pic_name,Name,R.A.,Decl.,epoch,rms,V_peak,V_peak_err,FWHM,FWHM_err,T_peak,Area,Area_err,6.7GHz_CH3OH_maser?,RRLs?,distance_bayesian,distance_bayesian_err,d_kin
J183402.10,G23.240-0.114,18 34 02.11,-8 40 09.9,20160821,0.047671638,53.10889911,0.16837505,4.965569003,0.396496904,-0.188187285,-0.994698604,0.068781144,,,3.45,0.34,3.435498998
J183402.10,G23.240-0.114,18 34 02.11,-8 40 09.9,20160821,0.047671638,94.8938731,0.09811356,4.307739957,0.231042081,-0.300772901,-1.379178229,0.064060358,,H,5.18,0.6,
J183521.38,G23.241-0.481,18 35 21.39,-8 50 17.2,20160717,0.033013284,61.39664394,0.03905857,1.51586606,0.091976814,-0.33406409,-0.539042283,0.028324577,,H,4.61,0.68,3.811196294
J183323.90,G23.265+0.076,18 33 23.91,-8 33 35.5,20160821,0.043787777,77.55071348,0.12709368,2.876130781,0.299285723,-0.166000707,-0.508218861,0.045800371,,,4.87,0.46,
J183436.21,G23.271-0.256,18 34 36.22,-8 42 26.6,20160821,0.067899294,61.83912411,0.087028308,7.073058833,0.205276953,-0.675994276,-5.089586497,0.127786561,Y,,4.84,0.65,
J183436.21,G23.271-0.256,18 34 36.22,-8 42 26.6,20160821,0.067899294,79.89643261,0.171198931,8.853383419,0.410028783,-0.386034791,-3.638043853,0.144309853,,H,4.8,0.49,4.568632438
J183436.21,G23.271-0.256,18 34 36.22,-8 42 26.6,20160821,0.067899294,94.90713898,0.199590278,6.24527447,0.474761259,-0.278566784,-1.851880978,0.121230919,,H,5.14,0.61,
J183411.04,G23.271-0.139,18 34 11.05,-8 39 12.0,20160821,0.066170365,52.54144367,0.11049196,3.012779938,0.260191278,-0.300138657,-0.962546136,0.071996163,,H,3.45,0.34,
J183411.04,G23.271-0.139,18 34 11.05,-8 39 12.0,20160821,0.066170365,95.65829465,0.111460837,3.168311216,0.262472822,-0.305162154,-1.029178527,0.073837099,,H,5.2,0.61,
J183359.40,G23.297-0.072,18 33 59.41,-8 35 59.5,20160821,0.056667637,95.92701198,0.070144531,5.026920497,0.165179396,-0.513270038,-2.746503395,0.078155466,,,5.21,0.6,
J183425.70,G23.315-0.184,18 34 25.70,-8 38 07.0,20160821,0.080445781,79.75660168,0.244741382,7.2542681,0.576329213,-0.25411348,-1.962246286,0.135007952,,,4.84,0.49,
J183425.70,G23.315-0.184,18 34 25.70,-8 38 07.0,20160821,0.080445781,95.70600134,0.094432546,3.426372668,0.222374196,-0.452669146,-1.651002386,0.09279044,,H,5.2,0.62,
J183450.06,G23.323-0.294,18 34 50.06,-8 40 44.8,20160717,0.038048647,60.91837834,0.051716182,5.34080339,0.157082924,-0.566918023,-3.222990791,0.1351495,,H,4.81,0.68,
J183450.06,G23.323-0.294,18 34 50.06,-8 40 44.8,20160717,0.038048647,67.61370617,0.264945179,18.3037869,0.406817683,-0.336724396,-6.560663198,0.185594163,,,4.83,0.62,
J183450.06,G23.323-0.294,18 34 50.06,-8 40 44.8,20160717,0.038048647,94.32779754,0.181182017,9.654029894,0.487713794,-0.225404739,-2.316348459,0.094567029,,H,5.13,0.62,
J183450.06,G23.323-0.294,18 34 50.06,-8 40 44.8,20160717,0.038048647,102.3900799,0.104961894,2.544713309,0.27032538,-0.17939878,-0.485948848,0.055388356,,,5.47,0.88,
J183434.42,G23.338-0.213,18 34 34.42,-8 37 41.3,20160821,0.051211141,63.48706439,0.276474373,4.537398213,0.651053899,-0.146881691,-0.709425458,0.088154324,,H,4.92,0.64,
J183434.42,G23.338-0.213,18 34 34.42,-8 37 41.3,20160821,0.051211141,81.13425972,0.076513927,5.984111988,0.180180292,-0.609505894,-3.882485406,0.101237551,,,4.83,0.5,
J183434.42,G23.338-0.213,18 34 34.42,-8 37 41.3,20160821,0.051211141,97.01838256,0.090419591,5.510819761,0.212926226,-0.494937836,-2.903347852,0.097150075,,H,5.22,0.63,
J183419.88,G23.351-0.139,18 34 19.89,-8 34 59.2,20160821,0.051226851,52.53715701,0.039663372,2.314378971,0.093401033,-0.566283063,-1.395083676,0.048757936,,,3.46,0.34,3.402630912
J183419.88,G23.351-0.139,18 34 19.89,-8 34 59.2,20160821,0.051226851,97.0094543,0.037687101,3.958901915,0.088747225,-0.779479491,-3.284820519,0.063770157,,H,5.24,0.62,
